CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,12,77556.46,0,Average Performance
12347,2,8,4921.53,2,High Performance
12348,75,5,1658.3999999999999,0,Average Performance
12349,19,3,3678.69,0,Average Performance
12350,310,1,294.4,1,Low Performance
12351,375,1,300.93,1,Low Performance
12352,36,9,1729.54,0,Average Performance
12353,204,2,406.76,1,Low Performance
12354,232,1,1079.4,1,Low Performance
12355,214,2,947.61,1,Low Performance
12356,23,6,5611.73,2,High Performance
12357,33,2,17437.66,0,Average Performance
12358,2,5,3447.07,2,High Performance
12359,58,10,8873.39,0,Average Performance
12360,52,6,3612.89,0,Average Performance
12361,287,4,451.25,1,Low Performance
12362,3,10,4737.23,2,High Performance
12363,110,2,552.0,0,Average Performance
12364,8,4,1208.1,2,High Performance
12365,291,1,320.69,1,Low Performance
12366,634,1,500.24,1,Low Performance
12367,4,1,150.9,0,Average Performance
12368,628,1,917.6999999999999,1,Low Performance
12369,413,3,1511.15,1,Low Performance
12370,51,7,3956.56,0,Average Performance
12371,60,4,3347.38,0,Average Performance
12372,72,3,1196.04,0,Average Performance
12373,311,3,927.6500000000001,1,Low Performance
12374,25,3,2669.22,0,Average Performance
12375,11,2,377.5,0,Average Performance
12376,390,2,383.15,1,Low Performance
12377,315,4,3266.32,1,Low Performance
12378,130,2,5416.32,0,Average Performance
12379,82,4,1470.22,0,Average Performance
12380,22,8,7210.65,2,High Performance
12381,5,3,1474.81,2,High Performance
12383,185,5,1628.56,1,Low Performance
12384,29,2,425.27000000000004,0,Average Performance
12385,379,1,1668.4,1,Low Performance
12386,338,2,401.9,1,Low Performance
12387,415,1,143.94,1,Low Performance
12388,16,8,3901.11,2,High Performance
12389,403,3,1433.33,1,Low Performance
12390,80,1,504.84000000000003,0,Average Performance
12391,22,6,2724.84,0,Average Performance
12392,591,1,234.75000000000003,1,Low Performance
12393,72,6,2399.4500000000003,0,Average Performance
12394,64,2,1080.48,0,Average Performance
12395,19,15,4241.17,2,High Performance
12396,674,1,931.43,1,Low Performance
12397,36,2,2214.9,0,Average Performance
12398,46,1,1435.66,0,Average Performance
12399,119,7,1842.3,0,Average Performance
12400,414,1,205.25,1,Low Performance
12401,303,1,69.3,1,Low Performance
12402,323,6,1136.9,1,Low Performance
12403,50,2,947.36,0,Average Performance
12405,149,1,1390.39,1,Low Performance
12406,22,5,6390.36,0,Average Performance
12407,50,5,1507.1200000000001,0,Average Performance
12408,33,8,3905.77,0,Average Performance
12409,79,7,23419.29,0,Average Performance
12410,309,3,773.71,1,Low Performance
12411,410,1,346.9,1,Low Performance
12412,75,6,2404.93,0,Average Performance
12413,67,4,871.45,0,Average Performance
12414,217,4,532.41,1,Low Performance
12415,24,24,144033.37,2,High Performance
12416,657,1,202.56,1,Low Performance
12417,3,20,5998.41,2,High Performance
12418,113,4,2021.2,0,Average Performance
12419,386,2,391.01,1,Low Performance
12420,64,1,600.39,0,Average Performance
12421,16,6,874.6,0,Average Performance
12422,96,12,3639.35,0,Average Performance
12423,1,10,2301.39,2,High Performance
12424,163,4,3340.03,0,Average Performance
12425,78,2,1741.41,0,Average Performance
12426,195,2,1201.21,1,Low Performance
12427,22,3,699.8,0,Average Performance
12428,26,8,6405.26,2,High Performance
12429,9,8,5842.41,2,High Performance
12430,43,1,216.4,0,Average Performance
12431,36,25,10102.22,2,High Performance
12432,43,4,4359.32,0,Average Performance
12433,1,10,16794.14,2,High Performance
12434,85,3,1103.43,0,Average Performance
12435,80,6,13925.93,0,Average Performance
12436,100,1,429.01000000000005,0,Average Performance
12437,2,38,11282.4,2,High Performance
12438,14,2,2466.85,0,Average Performance
12439,683,2,1142.88,1,Low Performance
12440,462,2,739.2,1,Low Performance
12441,367,1,155.55,1,Low Performance
12442,3,1,144.06,2,High Performance
12443,732,1,365.31,1,Low Performance
12444,21,5,4085.46,0,Average Performance
12445,22,2,378.98,0,Average Performance
12446,58,1,1002.3100000000001,0,Average Performance
12447,243,1,431.49,1,Low Performance
12448,44,1,365.45,0,Average Performance
12449,22,5,4274.89,0,Average Performance
12450,156,5,688.2,1,Low Performance
12451,11,8,12629.88,2,High Performance
12452,17,1,348.57,0,Average Performance
12453,134,1,707.09,1,Low Performance
12454,56,4,16459.78,0,Average Performance
12455,73,9,5722.95,0,Average Performance
12456,44,3,2581.04,0,Average Performance
12457,66,7,2555.91,0,Average Performance
12458,71,4,1502.49,0,Average Performance
12459,605,1,398.36,1,Low Performance
12460,456,1,296.65,1,Low Performance
12461,155,1,626.88,1,Low Performance
12462,19,2,937.59,0,Average Performance
12463,53,4,1200.78,0,Average Performance
12464,10,8,957.05,2,High Performance
12465,17,2,682.1899999999999,0,Average Performance
12467,423,1,132.8,1,Low Performance
12468,188,5,3238.74,1,Low Performance
12469,523,2,3070.54,1,Low Performance
12470,690,1,211.95,1,Low Performance
12471,2,71,35099.9,2,High Performance
12472,32,19,14971.289999999999,2,High Performance
12473,54,3,2585.73,0,Average Performance
12474,17,29,11310.75,2,High Performance
12475,54,2,1065.64,0,Average Performance
12476,16,18,12319.91,2,High Performance
12477,23,9,20276.37,2,High Performance
12478,4,1,545.99,2,High Performance
12479,11,1,473.2,0,Average Performance
12480,28,7,4834.85,0,Average Performance
12481,23,14,11033.51,2,High Performance
12482,576,27,21941.72,1,Low Performance
12483,17,19,4069.1800000000003,2,High Performance
12484,35,9,5557.1,0,Average Performance
12485,529,1,708.1,1,Low Performance
12486,432,1,917.28,1,Low Performance
12487,731,1,285.29999999999995,1,Low Performance
12488,10,3,1244.66,2,High Performance
12489,336,1,298.93,1,Low Performance
12490,5,20,8764.64,2,High Performance
12491,39,1,424.40000000000003,0,Average Performance
12492,63,3,607.21,0,Average Performance
12493,166,2,379.74,1,Low Performance
12494,16,9,1563.27,2,High Performance
12495,641,1,277.4,1,Low Performance
12496,620,2,45.34,1,Low Performance
12497,82,3,5996.5,0,Average Performance
12498,21,3,349.70000000000005,0,Average Performance
12499,560,1,357.72,1,Low Performance
12500,23,18,5559.21,2,High Performance
12501,337,1,2025.39,1,Low Performance
12502,96,5,2995.87,0,Average Performance
12503,584,1,896.0,1,Low Performance
12504,18,4,689.05,0,Average Performance
12505,409,1,787.2,1,Low Performance
12506,233,1,73.5,1,Low Performance
12507,134,4,1508.06,0,Average Performance
12508,26,2,397.88,0,Average Performance
12509,284,1,158.5,1,Low Performance
12510,143,7,3039.03,0,Average Performance
12511,429,1,3084.02,1,Low Performance
12512,66,2,132.18,0,Average Performance
12513,113,1,558.29,1,Low Performance
12514,267,2,1597.76,1,Low Performance
12515,353,1,278.7,1,Low Performance
12516,78,4,2288.62,0,Average Performance
12517,28,4,2301.6,0,Average Performance
12518,1,5,1840.89,2,High Performance
12519,64,2,626.54,0,Average Performance
12520,79,5,2346.2599999999998,0,Average Performance
12521,143,1,545.68,1,Low Performance
12522,39,2,156.72,0,Average Performance
12523,19,23,4010.35,2,High Performance
12524,9,17,9794.11,2,High Performance
12525,498,3,883.73,1,Low Performance
12526,1,3,1172.66,2,High Performance
12527,82,5,717.51,0,Average Performance
12528,9,6,1645.48,2,High Performance
12529,528,1,316.48,1,Low Performance
12530,60,9,3381.26,0,Average Performance
12531,15,2,1771.2,0,Average Performance
12532,30,1,313.83000000000004,0,Average Performance
12533,628,2,1223.89,1,Low Performance
12534,131,1,981.18,1,Low Performance
12535,92,2,716.35,0,Average Performance
12536,59,1,4279.71,0,Average Performance
12537,409,1,612.94,1,Low Performance
12538,29,2,640.45,0,Average Performance
12539,22,7,11186.75,2,High Performance
12540,20,32,19250.49,2,High Performance
12541,30,3,841.18,0,Average Performance
12542,484,2,481.88,1,Low Performance
12543,448,1,840.25,1,Low Performance
12544,36,1,316.7,0,Average Performance
12545,75,2,832.39,0,Average Performance
12546,47,2,1021.5,0,Average Performance
