itemset_str,quarters_present,quarters_list,mean_support,itemset_length,stability_label
WHITE HANGING HEART T-LIGHT HOLDER,4,"[1, 2, 3, 4]",0.13694123825752366,1,Stable (all 4 quarters)
REGENCY CAKESTAND 3 TIER,4,"[1, 2, 3, 4]",0.09170913959012296,1,Stable (all 4 quarters)
ASSORTED COLOUR BIRD ORNAMENT,4,"[1, 2, 3, 4]",0.07219382732712346,1,Stable (all 4 quarters)
JUMBO BAG RED RETROSPOT,4,"[1, 2, 3, 4]",0.07000145832118052,1,Stable (all 4 quarters)
PARTY BUNTING,4,"[1, 2, 3, 4]",0.06082898289389344,1,Stable (all 4 quarters)
LUNCH BAG  BLACK SKULL.,4,"[1, 2, 3, 4]",0.05583723565930281,1,Stable (all 4 quarters)
LUNCH BAG SPACEBOY DESIGN,4,"[1, 2, 3, 4]",0.052939028594991694,1,Stable (all 4 quarters)
HOME BUILDING BLOCK WORD,4,"[1, 2, 3, 4]",0.05217862512789524,1,Stable (all 4 quarters)
STRAWBERRY CERAMIC TRINKET BOX,4,"[1, 2, 3, 4]",0.051554795093453495,1,Stable (all 4 quarters)
LUNCH BAG CARS BLUE,4,"[1, 2, 3, 4]",0.050986523442309056,1,Stable (all 4 quarters)
60 TEATIME FAIRY CAKE CASES,4,"[1, 2, 3, 4]",0.05016502743824726,1,Stable (all 4 quarters)
REX CASH+CARRY JUMBO SHOPPER,4,"[1, 2, 3, 4]",0.04883411893646055,1,Stable (all 4 quarters)
WOODEN FRAME ANTIQUE WHITE,4,"[1, 2, 3, 4]",0.04882223935724924,1,Stable (all 4 quarters)
BAKING SET 9 PIECE RETROSPOT,4,"[1, 2, 3, 4]",0.04826502644726897,1,Stable (all 4 quarters)
HEART OF WICKER SMALL,4,"[1, 2, 3, 4]",0.048080622215573646,1,Stable (all 4 quarters)
JUMBO STORAGE BAG SUKI,4,"[1, 2, 3, 4]",0.047853320341002814,1,Stable (all 4 quarters)
JUMBO SHOPPER VINTAGE RED PAISLEY,4,"[1, 2, 3, 4]",0.04721769610011764,1,Stable (all 4 quarters)
HEART OF WICKER LARGE,4,"[1, 2, 3, 4]",0.04583684098450616,1,Stable (all 4 quarters)
NATURAL SLATE HEART CHALKBOARD,4,"[1, 2, 3, 4]",0.04550582800082311,1,Stable (all 4 quarters)
WOODEN PICTURE FRAME WHITE FINISH,4,"[1, 2, 3, 4]",0.04482902728422297,1,Stable (all 4 quarters)
